#;Genere;Età (anni compiuti, inserisca il numero);Che tipo di lavoro svolge (lo descriva in poche parole. Se ne svolge più di uno li descriva tutti).;Inquadramento (se svolge più di un lavoro, si riferisca a quello a cui dedica più tempo);Settore;Grado di istruzione più elevato raggiunto:;Coniuge/convivente;Genitori;Figli;Altri;Da sola/o;Quante ore lavora in media per settima? (straordinari inclusi);Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI LAVORATIVI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER MOTIVI PERSONALI durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER FARE CHIAMATE durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER NAVIGARE SUL BROWSER (es. Google Chrome) durante l'orario lavorativo?;Quanto spesso le capita di UTILIZZARE IL SUO SMARTPHONE PER USARE APPLICAZIONI (es. WhatsApp) durante l'orario lavorativo?;Il mio lavoro mi fa sentire ARRABBIATA/O.;Il mio lavoro mi fa sentire ANSIOSA/O.;Il mio lavoro mi fa sentire DISGUSTATA/O.;Il mio lavoro mi fa sentire SCORAGGIATA/O.;Il mio lavoro mi fa sentire PESSIMISTA.;Il mio lavoro mi fa sentire AFFATICATA/O.;Il mio lavoro mi fa sentire PIENA/O DI ENERGIA.;Il mio lavoro mi fa sentire ENTUSIASTA.;Il mio lavoro mi fa sentire ISPIRATA/O.;Il mio lavoro mi fa sentire A MIO AGIO.;Il mio lavoro mi fa sentire SODDISFATTA/O.;Il mio lavoro mi fa sentire RILASSATA/O.;Si sente sfinita/o alla fine di una giornata lavorativa?;La mattina, al pensiero di un'altra giornata lavorativa da affrontare, si sente già esausta/o?;Sente che ogni ora di lavoro è per lei stancante?;Ha abbastanza energie per la famiglia e gli amici durante il tempo libero?;Il suo lavoro è emotivamente spossante?;Si sente consumata/o e spenta/o a causa del suo lavoro?;Si sente frustrata/o a causa del suo lavoro?;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Nessun sintomo;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;Eruzione cutanea;Respiro affannoso;Dolore al torace;Mal di testa;Febbre;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;Costipazione;Battito accelerato a riposo;Calo di appetito;Vertigini;Stanchezza o affaticamento;Quante volte accade che il suo lavoro le richieda di LAVORARE MOLTO VELOCEMENTE?;Quante volte accade che il suo lavoro le richieda di LAVORARE DURAMENTE?;"Quante volte le capita che il suo lavoro le lasci POCO TEMPO A DISPOSIZIONE per finire le cose che deve fare?";Quante volte al lavoro ci sono TANTISSIME COSE DA FARE?;Quante volte le capita di avere PIÙ LAVORO DI QUANTO NE POTREBBE SVOLGERE BENE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INTERRUZIONI DA PARTE DI ALTRE PERSONE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...INADEGUATO AIUTO DA PARTE DEGLI ALTRI?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...REGOLE E PROCEDURE ORGANIZZATIVE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa...DEL SUO SUPERVISORE O DEL SUO CAPO?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...APPARECCHIATURE O FORNITURE INADEGUATE?;Quante volte trova difficile o impossibile svolgere il suo lavoro in modo ottimale a causa di...FORMAZIONE PERSONALE INSUFFICIENTE?;Quante volte accade che il suo lavoro le permetta di PRENDERE MOLTE DECISIONI IN AUTONOMIA?;Quante volte le capita di AVERE VOCE IN CAPITOLO rispetto all'organizzazione del suo lavoro?;Quante volte le capita di avere POCA LIBERTÀ DI DECIDERE COME FARE il suo lavoro?;Quante volte le capita di POTER DECIDERE COSA FARE a lavoro?;Quante volte le capita di POTER PIANIFICARE IL TEMPO in cui svolgere il suo lavoro?;Mi sembra di essere di fretta e in corsa contro il tempo;Continuo a lavorare dopo che i miei colleghi hanno smesso;"E’ importante per me lavorare intensamente anche quando quello che faccio non mi piace";Mi tengo impegnato e ‘metto molta carne sul fuoco’;"Sento che c’è qualcosa dentro di me che mi spinge a lavorare intensamente";Dedico più tempo al lavoro che a socializzare con gli amici, ad hobby o ad altre attività del tempo libero;"Mi sento obbligato a lavorare intensamente, anche quando ciò non è piacevole";Mi ritrovo a fare due o tre cose contemporaneamente, come ad esempio consumare il pranzo, scrivere un promemoria e utilizzare il telefono;Mi sento colpevole quando mi prendo del tempo libero dal lavoro;E’ difficile per me rilassarmi quando non lavoro;Inserisca il suo CODICE PERSONALE;Che tipo di smartphone possiede?;"Grazie! Questa fase preliminare dello studio è terminata. Una COPIA PDF del consenso informato, delle istruzioni e del modulo per l'autorizzazione del datore di lavoro* è allegata alla mail con cui l'abbiamo contattata. *****************  IMPORTANTE **********************************************************************Per inviarci le sue risposte deve: (1) cliccare sul tasto ""Continua"" qui sotto,(2) cliccare sul tasto ""Invia"" di seguito. ******************************************************************************************************Grazie mille per la collaborazione!";Start Date (UTC);Submit Date (UTC);Network ID
cf04492f36178a2c09d8d318e2a815f1;Maschio;54;Assistente disabili;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;38;3;3;2;1;1;2;3;1;1;2;1;4;2;2;1;3;3;1;4;3;2;5;4;3;3;;Mal di stomaco o nausea;Mal di schiena;;;Respiro affannoso;;Mal di testa;;Acidità o bruciore di stomaco;;;;Costipazione;Battito accelerato a riposo;Calo di appetito;;Stanchezza o affaticamento;;Mal di stomaco o nausea;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;;;;;;;;;1;4;1;2;1;2;1;2;1;3;3;2;5;1;5;5;2;1;3;2;3;1;1;1;1;1;EPOU1932;Con sistema iOS (iPhone);Continua;2018-12-12 01:08:49;2018-12-12 01:38:52;7e78f05149
abf7f0a73cc73559c7f5b28d41e3894c;Maschio;26;Infermiere;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;Genitori;;;;38;2;3;2;1;2;1;1;3;1;1;1;1;4;5;4;5;5;3;2;1;1;4;2;1;1;Nessun sintomo;;;;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;2;1;1;1;1;1;1;1;3;4;1;3;4;1;1;3;2;2;2;2;1;1;1;LFMDI1965;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-11 21:06:41;2018-12-11 21:22:45;bf8a3a0790
e863d82208cb6acee7a4fd25986afb5a;Femmina;41;Coordinatore  infermieristico;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;38;3;3;2;3;1;3;1;1;1;2;1;2;5;5;2;5;5;4;3;2;2;5;4;2;1;;;;;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;2;3;3;4;3;3;1;1;2;4;4;2;5;2;2;2;4;3;3;1;3;2;2;3;Magg1948;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-11 18:02:19;2018-12-11 18:29:02;ee100db504
4430fc6fd3209aee91892eb26c2cc34d;Femmina;28;eventi;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;50;3;1;3;3;3;3;4;2;1;4;2;4;2;3;3;3;4;1;5;3;2;2;2;3;3;;;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;4;5;4;3;1;2;2;2;3;4;2;1;3;2;1;3;2;3;2;3;1;3;fris1964;Altro (es. Microsoft phone) -> VEDERE NOTA;Continua;2018-12-11 14:59:16;2018-12-11 16:09:16;d9fc88eaa2
66d2a7d431569d350b43b845f32a2567;Femmina;44;CUSTOMER SERVICE;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;;;;;Da sola/o;40;4;1;2;1;1;3;3;4;3;2;3;3;2;2;1;5;3;1;4;3;3;3;3;5;3;;Mal di stomaco o nausea;Mal di schiena;;;Respiro affannoso;;Mal di testa;;;;;;;;;;;;Mal di stomaco o nausea;;;;Respiro affannoso;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;4;3;3;4;3;4;5;5;5;2;3;3;4;3;4;5;2;1;2;2;2;3;3;1;1;1;CPRZ1951;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-11 14:47:56;2018-12-11 15:04:02;d9fc88eaa2
fe21c5290bd578ca89369b2bba2f09e3;Femmina;39;IMPIEGATA;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;42;4;1;4;2;3;4;5;5;5;5;4;5;2;2;3;3;3;2;5;4;3;1;4;3;4;;;;;;;Dolore al torace;;;;;;;;;;;;;;;Sonno disturbato;;;;;;;;;;;;;;;5;5;4;5;5;4;4;5;4;3;1;4;3;3;3;3;4;3;4;4;4;4;4;4;4;4;PSAMT1949;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-11 14:46:54;2018-12-11 14:54:39;d9fc88eaa2
3b38ad7da7b90d9283f5b2a67a33d58c;Femmina;32;customer care back office;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;Figli;;;36;4;1;2;2;3;4;3;3;3;3;2;2;4;4;2;4;4;4;3;1;3;4;3;3;2;;Mal di stomaco o nausea;;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;2;2;2;2;4;4;4;4;5;2;2;2;4;2;4;2;1;1;3;2;1;1;2;1;1;RMIM1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-11 14:01:34;2018-12-11 14:13:43;d9fc88eaa2
797b5b755b721d1fd607b094b863ccd4;Femmina;55;Impiegata amministrativa;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;38;4;3;3;3;1;3;2;1;3;4;3;3;1;1;1;1;1;3;3;3;3;4;3;4;4;;;;Sonno disturbato;;;;;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;3;3;3;3;5;3;5;4;3;3;2;2;3;1;2;2;2;1;1;1;3;2;3;1;1;UCLP1929;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-11 07:12:03;2018-12-11 07:39:18;5aebd041e3
104e8169988416b52b18f3b932b61617;Maschio;40;Gestisco manutenzioni e progetti di costruzioni di negozi.;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;46;2;2;1;2;1;3;3;3;1;2;3;4;3;4;4;4;4;2;3;2;1;3;4;3;3;;;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;;4;3;4;4;2;3;2;3;2;1;3;4;4;2;4;4;3;3;3;2;4;3;3;2;2;3;Edmf1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-10 18:24:39;2018-12-10 20:00:36;5363cc82f9
413a9741b14efea4c1dcef0b48043eb8;Femmina;49;lavoro impiegatizio di carattere commerciale, lavoro su progetto;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;Figli;;;40;4;3;4;3;2;3;3;3;2;2;3;4;3;3;2;3;2;3;4;3;3;3;3;2;4;;;Mal di schiena;;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;;;;;;;;;5;4;4;4;4;2;3;3;2;3;2;4;2;2;4;4;3;1;3;2;1;3;3;3;1;1;MBMZ1942;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-10 15:05:22;2018-12-10 15:29:10;d9fc88eaa2
4ba21d22e0567baf9b7ce7f2763b09be;Femmina;48;bibliotecaria;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;38;5;3;5;4;1;4;5;3;1;5;5;1;4;4;5;3;1;1;2;3;2;2;3;3;5;;;;Sonno disturbato;Eruzione cutanea;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;Diarrea;;;Battito accelerato a riposo;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;3;1;3;1;5;2;4;4;3;2;1;2;1;3;4;3;1;4;3;3;4;4;3;3;3;GBIG1947;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-10 08:53:07;2018-12-10 09:51:09;111f1ea030
aeb44202640c9e759f0e061cd1ee3d2d;Femmina;42;Sono impiegata amministrativa nella segreteria di un Istituto di riabilitazione;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;38;5;4;5;2;1;5;5;4;5;5;5;4;3;2;1;2;2;3;3;2;1;2;4;4;4;;;;Sonno disturbato;;;;Mal di testa;;;;Diarrea;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;2;3;3;3;5;5;5;4;5;1;2;2;4;2;3;3;2;3;3;4;4;3;3;2;1;ETSF1950;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-10 09:24:10;2018-12-10 09:42:02;111f1ea030
24e0ce73cbd3936879ebdd878179bbb3;Maschio;50;Ufficio Risorse Umane;Dipendente - livello non dirigenziale;Privato;Scuole Superiori;Coniuge/convivente;;;;;38;2;3;2;2;1;2;2;3;1;1;1;2;3;4;4;4;3;3;3;1;3;3;3;2;1;;;Mal di schiena;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;3;3;3;2;2;1;1;1;1;1;3;3;2;2;4;2;1;2;2;2;3;1;1;1;1;LDFLF1938;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-10 09:19:34;2018-12-10 09:37:47;111f1ea030
868894e3de2ed094a38afff6546117de;Femmina;30;Impiegato in ufficio: front office in presenza, telefonico e per mail, organizzazione eventi;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;40;3;2;3;1;1;3;3;2;3;3;1;4;3;3;2;5;4;2;3;3;2;4;2;3;2;;Mal di stomaco o nausea;Mal di schiena;Sonno disturbato;;;;Mal di testa;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;5;2;1;3;3;4;3;4;4;2;2;2;4;3;3;2;3;2;3;4;1;1;SOMC57;Altro (es. Microsoft phone) -> VEDERE NOTA;Continua;2018-12-09 19:27:25;2018-12-09 19:42:15;bc0f0fcd12
de7936de002d17ceb6deb11b164c98b2;Femmina;41;Lavoro d’ufficio, principalmente al computer e con utenza, relazioni internazionali;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;38;1;1;1;1;1;1;5;5;3;5;4;5;2;2;2;4;4;1;5;5;4;1;5;5;5;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;Febbre;;Affaticamento agli occhi;Diarrea;Crampi allo stomaco;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;5;3;3;4;3;2;1;5;5;3;5;1;4;2;4;4;1;4;4;4;3;2;GZCC1948;Con sistema iOS (iPhone);Continua;2018-12-09 19:14:56;2018-12-09 19:32:10;79097f5086
a9463feb5085299752e1ca139c4ca77d;Femmina;43;professoressa;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;45;5;4;3;3;1;5;1;5;3;4;4;4;3;3;4;1;4;1;4;3;2;3;5;4;3;;;;Sonno disturbato;;;;;;Acidità o bruciore di stomaco;;;Crampi allo stomaco;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;5;5;5;3;3;5;1;2;3;4;4;2;4;4;4;2;2;3;3;3;3;3;4;2;gpmb1956;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-09 16:50:58;2018-12-09 17:11:44;a7c1b0299e
c25516f87401db2c1f401fc5403794ea;Femmina;59;Citologa. Mi occupo di prevenzione;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;;Da sola/o;40;4;4;3;2;3;3;4;1;2;2;2;1;4;3;4;3;3;4;3;3;3;4;4;3;2;;Mal di stomaco o nausea;Mal di schiena;;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;;;;;;;;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;;3;3;3;3;2;2;3;4;3;3;4;3;3;3;3;4;2;1;3;4;3;2;2;1;2;1;GDDN1921;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-09 14:09:54;2018-12-09 14:51:27;6b9c9aa015
57b72a42a0e4ed7c53c43fafa2a40f6c;Maschio;44;Direttore;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;45;5;5;4;5;3;5;3;2;2;1;1;3;3;3;3;5;4;4;4;3;2;4;4;3;2;;;;Sonno disturbato;;;;Mal di testa;;;;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;5;4;4;5;3;3;2;2;1;3;2;4;4;1;4;4;3;3;3;3;3;3;3;3;1;1;adfcr1949;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-07 08:14:33;2018-12-07 08:27:39;84b3ff1e90
f6c3cbfb9983933a4018055527024baa;Maschio;31;Assegnista di ricerca;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;40;4;4;3;2;1;1;1;1;1;1;1;2;3;3;4;4;4;4;3;1;2;4;1;1;1;;Mal di stomaco o nausea;;;;;;Mal di testa;;;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;3;3;3;3;3;2;3;2;2;1;4;4;2;3;4;2;2;1;2;3;3;1;2;1;1;PBLF1952;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-06 11:01:17;2018-12-06 11:16:52;a3889a45d7
89e21e942effca8c3626bf69eee9c102;Maschio;32;Supporto alla didattica, Psicologo;A progetto/ co.co.co;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;60;5;5;5;5;5;5;5;4;3;4;4;5;3;3;3;2;3;1;5;4;4;1;5;5;2;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;Battito accelerato a riposo;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;5;5;5;5;5;5;4;5;5;1;3;4;4;3;4;5;4;4;2;4;4;4;3;4;4;4;LVAM1967;Con sistema iOS (iPhone);Continua;2018-12-06 07:59:55;2018-12-06 08:21:55;b5a99aaa73
5e154a7b05f4180ec5179b50b8da3aa4;Femmina;33;project manager;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;3;5;2;3;5;2;1;1;1;1;2;3;2;3;4;4;4;3;2;2;4;1;1;2;;Mal di stomaco o nausea;;;;;;;;;;;;Costipazione;;;;Stanchezza o affaticamento;;Mal di stomaco o nausea;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;;;;;;;;Stanchezza o affaticamento;2;2;1;2;2;3;2;1;1;2;2;4;4;3;4;4;1;1;2;2;1;1;1;1;1;1;acls1955;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-05 19:12:24;2018-12-05 19:22:44;36d7e3da38
ed286d36d1d4b2052f6cb6e0fb19a15e;Maschio;36;manager di un team di 8 persone che si occupa della gestione di dati del sottosuolo per l'industria petrolifera;Dipendente - livello dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;5;4;4;3;4;4;3;1;1;1;4;2;1;2;1;5;2;2;2;4;2;5;3;2;2;;;Mal di schiena;;;Respiro affannoso;Dolore al torace;;;Acidità o bruciore di stomaco;;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;2;3;2;5;2;5;5;5;1;2;5;4;4;5;1;1;1;1;1;1;2;1;2;1;ubgm1953;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-05 16:25:42;2018-12-05 17:21:05;36d7e3da38
90ae2214128414538b105e8e40cddd72;Femmina;55;Contabile ammintrativo;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;40;2;3;2;3;3;2;4;3;2;3;2;4;3;2;3;3;3;3;4;3;3;4;3;3;3;;Mal di stomaco o nausea;Mal di schiena;;;;;Mal di testa;;;;;Crampi allo stomaco;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;4;4;4;5;3;3;3;3;4;4;3;3;2;2;4;2;4;3;3;3;4;3;2;2;fcmldg1934;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);Continua;2018-12-05 15:00:44;2018-12-05 15:10:23;06377f292c
4979d1a0184da16a3d3ede106a921eae;Maschio;30;Programmatore;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;;;;Altri;;42;5;3;5;1;5;4;2;3;1;1;2;3;3;1;2;3;4;2;3;2;2;4;1;2;1;;Mal di stomaco o nausea;Mal di schiena;;;;;;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;2;2;4;3;2;2;1;1;1;2;3;2;1;3;4;1;2;2;1;2;1;2;1;1;1;1;MFPW1957;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-04 22:53:43;2018-12-04 23:10:02;1710890fdf
939e6490d553d4b6527dc57bc0957c7c;Maschio;43;Professore Associato - Università di Padova;Dipendente - livello dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;50;3;3;3;3;2;1;3;3;2;2;2;4;4;3;3;4;3;2;4;3;3;3;3;3;2;;;;Sonno disturbato;;;;Mal di testa;;;;Diarrea;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;3;4;4;4;2;4;2;2;2;4;3;3;4;3;3;2;3;3;3;3;3;2;2;2;AAPE1953;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-03 08:26:09;2018-12-03 09:25:06;df327d0329
da78502c08bd8201fdf8d8866f396b90;Maschio;38;Ricerca accademica;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;;;;;Da sola/o;55;4;4;4;4;2;4;3;3;1;1;1;4;4;4;5;4;5;4;3;3;1;4;1;2;1;;;;Sonno disturbato;;;Dolore al torace;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;3;4;3;5;5;1;1;1;1;4;4;2;4;4;3;4;3;3;3;2;3;1;2;2;SPMM1952;Con sistema iOS (iPhone);;2018-12-02 18:07:31;2018-12-02 18:27:41;8cfe637554
239c4b6d4815ffb8ede268ba517f0958;Femmina;59;commercialista;Libero professionista/imprenditore;Privato;Scuole Superiori;Coniuge/convivente;;;;;46;3;1;4;4;1;1;4;4;4;5;4;3;2;2;3;3;3;1;4;4;4;2;5;4;4;;;Mal di schiena;Sonno disturbato;;;;;;;Affaticamento agli occhi;;;;;;;Stanchezza o affaticamento;;;;Sonno disturbato;;;;;;;;;;;;;;Stanchezza o affaticamento;4;5;4;4;4;4;3;2;1;1;1;3;3;4;2;2;4;3;3;3;2;4;4;3;2;4;ABLM1923;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-02 10:44:33;2018-12-02 11:21:36;fb47d54100
e8056d0a308603a6574569190fd45ba4;Femmina;31;Impiegata;Dipendente - livello non dirigenziale;Privato;Laurea/Post-laurea;Coniuge/convivente;;;;;40;4;1;4;3;3;4;4;4;2;2;2;3;2;2;2;3;3;1;4;3;3;4;3;3;3;;;Mal di schiena;Sonno disturbato;;;;Mal di testa;Febbre;;;;;Costipazione;;;;Stanchezza o affaticamento;Nessun sintomo;;;;;;;;;;;;;;;;;;3;4;3;4;4;3;2;2;3;2;2;4;4;3;4;4;3;3;4;3;3;4;4;3;1;1;APRT54;Con sistema iOS (iPhone);;2018-12-01 22:14:21;2018-12-01 22:45:26;0dac59162a
a02cac31e55b7d8feb37ccd2e0aa9076;Maschio;33;Ricercatore;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;;;;50;4;5;3;5;2;3;1;3;1;1;4;4;3;5;4;5;5;1;4;1;2;3;2;2;2;;;;Sonno disturbato;;;;Mal di testa;;Acidità o bruciore di stomaco;;;;;;;Vertigini;;;;;;;;;;;Acidità o bruciore di stomaco;;;;;;;;;4;4;5;5;5;3;2;4;3;1;2;4;4;2;4;5;3;3;4;4;4;2;3;4;4;1;05101985;Con sistema iOS (iPhone);;2018-12-01 22:14:15;2018-12-01 22:30:02;74d50a1c62
ef8aee7d5b5e25f07cae5c87d7a8e95f;Femmina;45;Gestione contratti di collaborazione dal punto di vista amministrativo e contabile;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;30;3;1;3;1;1;3;3;3;2;1;2;4;3;4;2;4;4;3;4;2;3;4;4;3;2;;Mal di stomaco o nausea;Mal di schiena;;;;Dolore al torace;Mal di testa;;Acidità o bruciore di stomaco;Affaticamento agli occhi;;;;;;Vertigini;Stanchezza o affaticamento;;;;;;;Dolore al torace;;;;;;;;;;;;4;3;4;4;3;5;1;3;2;1;2;4;3;2;5;5;3;3;1;2;2;1;1;1;2;1;GBGP1949;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-12-01 13:07:00;2018-12-01 13:35:25;67da77af94
56bed3d1bc6756b4e4bd06c0eee616d6;Maschio;35;Ricercatore, Docente, Psicoterapeuta;Dipendente - livello non dirigenziale;Pubblico;Laurea/Post-laurea;Coniuge/convivente;;Figli;;;50;5;5;4;3;4;4;2;3;1;1;2;1;4;5;5;5;5;3;2;1;1;4;3;1;1;;Mal di stomaco o nausea;;;;;;;;;Affaticamento agli occhi;;;;;;;;Nessun sintomo;;;;;;;;;;;;;;;;;;4;4;5;4;3;4;2;3;1;1;1;4;5;2;4;3;3;3;3;3;2;4;1;2;2;1;PSRP1944;Con sistema ANDROID (Samsung, HUAWEI, ASUS, Xiaomi ecc.);;2018-11-30 11:36:58;2018-11-30 11:49:35;adf4026cbf
